CD_SETOR,NM_MUN,CD_DIST,NM_DIST,lat,lon
355030801000179,São Paulo,355030801,Água Rasa,-23.553182770314237,-46.571848809701564
355030801000180,São Paulo,355030801,Água Rasa,-23.554362902599696,-46.57100520811108
355030801000181,São Paulo,355030801,Água Rasa,-23.554234060396002,-46.57225667911676
355030801000182,São Paulo,355030801,Água Rasa,-23.554629614694623,-46.569564512392894
355030801000183,São Paulo,355030801,Água Rasa,-23.55527787596368,-46.57039077918386
355030801000184,São Paulo,355030801,Água Rasa,-23.560151315938406,-46.57096380258404
355030801000185,São Paulo,355030801,Água Rasa,-23.559885114645354,-46.57124168163337
355030801000186,São Paulo,355030801,Água Rasa,-23.579550042313027,-46.55915745233368
355030801000187,São Paulo,355030801,Água Rasa,-23.58041440213271,-46.55873107466991
355030801000188,São Paulo,355030801,Água Rasa,-23.580412440976023,-46.55815812911579
355030801000189,São Paulo,355030801,Água Rasa,-23.55803004635657,-46.5757471405571
355030801000190,São Paulo,355030801,Água Rasa,-23.558827419644636,-46.57586342978629
355030801000191,São Paulo,355030801,Água Rasa,-23.57573979417388,-46.56450738931543
355030801000192,São Paulo,355030801,Água Rasa,-23.576738264120888,-46.5635806679683
355030801000193,São Paulo,355030801,Água Rasa,-23.577406387328345,-46.56466852575848
355030801000194,São Paulo,355030801,Água Rasa,-23.577336574852335,-46.563741263632025
355030801000195,São Paulo,355030801,Água Rasa,-23.578091437576997,-46.5630407959424
355030801000196,São Paulo,355030801,Água Rasa,-23.577979033702697,-46.56359872580528
355030801000197,São Paulo,355030801,Água Rasa,-23.55775206728248,-46.57973361886035
355030801000198,São Paulo,355030801,Água Rasa,-23.559113864765653,-46.5779547884761
355030801000199,São Paulo,355030801,Água Rasa,-23.55900473032117,-46.578571600251735
355030801000200,São Paulo,355030801,Água Rasa,-23.57969087945144,-46.56160061204341
355030801000201,São Paulo,355030801,Água Rasa,-23.580499034164525,-46.561194549462776
355030801000202,São Paulo,355030801,Água Rasa,-23.56095258749757,-46.582464629528424
355030801000203,São Paulo,355030801,Água Rasa,-23.561042144478787,-46.58132956810075
355030801000204,São Paulo,355030801,Água Rasa,-23.565648501593348,-46.58395215380797
355030801000205,São Paulo,355030801,Água Rasa,-23.564821290137672,-46.584969122158455
355030802000001,São Paulo,355030802,Alto de Pinheiros,-23.5473146029734,-46.70646722251644
355030802000002,São Paulo,355030802,Alto de Pinheiros,-23.54839323177851,-46.70216637859575
355030802000004,São Paulo,355030802,Alto de Pinheiros,-23.55023456602836,-46.70104009008608
355030802000006,São Paulo,355030802,Alto de Pinheiros,-23.54409894240732,-46.71010529992038
355030802000012,São Paulo,355030802,Alto de Pinheiros,-23.54720393020501,-46.6984538722479
355030802000014,São Paulo,355030802,Alto de Pinheiros,-23.55210794152547,-46.701410463932746
355030802000015,São Paulo,355030802,Alto de Pinheiros,-23.5555296459356,-46.7074069043931
355030802000016,São Paulo,355030802,Alto de Pinheiros,-23.55187420761761,-46.71172947190445
355030802000024,São Paulo,355030802,Alto de Pinheiros,-23.539238865309983,-46.71028237827573
355030802000028,São Paulo,355030802,Alto de Pinheiros,-23.541925375932333,-46.69940140121572
355030802000032,São Paulo,355030802,Alto de Pinheiros,-23.547038156921356,-46.695365959017025
355030802000033,São Paulo,355030802,Alto de Pinheiros,-23.551788509744252,-46.69600740149623
355030802000038,São Paulo,355030802,Alto de Pinheiros,-23.5563520051351,-46.701880146510206
355030802000039,São Paulo,355030802,Alto de Pinheiros,-23.55847891896051,-46.706623420858996
355030802000040,São Paulo,355030802,Alto de Pinheiros,-23.555244050552034,-46.711804485134074
355030802000041,São Paulo,355030802,Alto de Pinheiros,-23.552524155797325,-46.71645718301263
355030802000042,São Paulo,355030802,Alto de Pinheiros,-23.55076259786005,-46.718697595115806
355030802000045,São Paulo,355030802,Alto de Pinheiros,-23.542579837515227,-46.720786250310404
355030802000046,São Paulo,355030802,Alto de Pinheiros,-23.53877179357528,-46.718320970584756
355030802000048,São Paulo,355030802,Alto de Pinheiros,-23.53958645155237,-46.71640890246875
355030802000049,São Paulo,355030802,Alto de Pinheiros,-23.54134787326222,-46.714382455379976
