0,1
18890,"{'stop_name': 'Corinthians-itaquera', 'stop_lat': -23.542411, 'stop_lon': -46.471964, 'stop_location_type': 'Metro'}"
18891,"{'stop_name': 'Comendador Ermelino', 'stop_lat': -23.485166, 'stop_lon': -46.482828, 'stop_location_type': 'Rail'}"
18892,"{'stop_name': 'Dom Bosco', 'stop_lat': -23.541714, 'stop_lon': -46.447993, 'stop_location_type': 'Rail'}"
18893,"{'stop_name': 'José Bonifácio', 'stop_lat': -23.53912, 'stop_lon': -46.431683, 'stop_location_type': 'Rail'}"
18894,"{'stop_name': 'Antônio Gianetti Neto', 'stop_lat': -23.554322, 'stop_lon': -46.383668, 'stop_location_type': 'Rail'}"
18895,"{'stop_name': 'Guaianases', 'stop_lat': -23.542298, 'stop_lon': -46.415633, 'stop_location_type': 'Rail'}"
18897,"{'stop_name': 'Itaim Paulista', 'stop_lat': -23.493989, 'stop_lon': -46.402304, 'stop_location_type': 'Rail'}"
18898,"{'stop_name': 'Ferraz De Vasconcelos', 'stop_lat': -23.540688, 'stop_lon': -46.368207, 'stop_location_type': 'Rail'}"
18899,"{'stop_name': 'Poá', 'stop_lat': -23.525211, 'stop_lon': -46.34325, 'stop_location_type': 'Rail'}"
18900,"{'stop_name': 'Eng Manoel Feio', 'stop_lat': -23.478636, 'stop_lon': -46.364469, 'stop_location_type': 'Rail'}"
18901,"{'stop_name': 'Calmon Viana', 'stop_lat': -23.525497, 'stop_lon': -46.332803, 'stop_location_type': 'Rail'}"
18902,"{'stop_name': 'Suzano', 'stop_lat': -23.533521, 'stop_lon': -46.309229, 'stop_location_type': 'Rail'}"
18906,"{'stop_name': 'Santo Amaro', 'stop_lat': -23.655909, 'stop_lon': -46.719702, 'stop_location_type': 'Rail'}"
18907,"{'stop_name': 'Jurubatuba', 'stop_lat': -23.677465, 'stop_lon': -46.702213, 'stop_location_type': 'Rail'}"
18908,"{'stop_name': 'Socorro', 'stop_lat': -23.66343, 'stop_lon': -46.71097, 'stop_location_type': 'Rail'}"
18909,"{'stop_name': 'Granja Julieta', 'stop_lat': -23.627599, 'stop_lon': -46.712111, 'stop_location_type': 'Rail'}"
18910,"{'stop_name': 'Morumbi', 'stop_lat': -23.621519, 'stop_lon': -46.701657, 'stop_location_type': 'Rail'}"
18911,"{'stop_name': 'Berrini', 'stop_lat': -23.604669, 'stop_lon': -46.696825, 'stop_location_type': 'Rail'}"
18912,"{'stop_name': 'Vila Olímpia', 'stop_lat': -23.593185, 'stop_lon': -46.692871, 'stop_location_type': 'Rail'}"
18913,"{'stop_name': 'Cidade Jardim', 'stop_lat': -23.585337, 'stop_lon': -46.691293, 'stop_location_type': 'Rail'}"
18914,"{'stop_name': 'Amador Bueno', 'stop_lat': -23.5307, 'stop_lon': -46.983928, 'stop_location_type': 'Rail'}"
18916,"{'stop_name': 'Piqueri', 'stop_lat': -23.504206, 'stop_lon': -46.714999, 'stop_location_type': 'Rail'}"
18917,"{'stop_name': 'Lapa (linha 7)', 'stop_lat': -23.517538, 'stop_lon': -46.703952, 'stop_location_type': 'Rail'}"
18918,"{'stop_name': 'Lapa (linha 8)', 'stop_lat': -23.519585, 'stop_lon': -46.700124, 'stop_location_type': 'Rail'}"
18919,"{'stop_name': 'Água Branca', 'stop_lat': -23.521231, 'stop_lon': -46.689237, 'stop_location_type': 'Rail'}"
18920,"{'stop_name': 'Palmeiras - Barra Funda', 'stop_lat': -23.525317, 'stop_lon': -46.666547, 'stop_location_type': 'Rail'}"
18921,"{'stop_name': 'Perus', 'stop_lat': -23.404054, 'stop_lon': -46.754465, 'stop_location_type': 'Rail'}"
