stop_id,stop_lat,stop_lon,gwalk_nearest
18848,-23.554022,-46.671108,11287097095
18849,-23.546498,-46.691141,165473564
18850,-23.558094,-46.660205,3511236618
18851,-23.635039,-46.641239,2396880345
18852,-23.646033,-46.641028,29777031
18853,-23.625882,-46.640936,3359512168
18854,-23.618245,-46.639139,467923960
18855,-23.610583,-46.637918,2360186678
18856,-23.598541,-46.636638,315793572
18857,-23.589359,-46.634677,2453466308
18858,-23.567615,-46.649027,2578181768
18859,-23.56357,-46.653893,11285365836
18860,-23.581203,-46.638489,12882476328
18861,-23.5754,-46.6407,12965596660
18862,-23.568521,-46.639904,85728637
18863,-23.561435,-46.638534,8950200273
18864,-23.533163,-46.657264,8669088055
18865,-23.538095,-46.649009,12105385275
18866,-23.544215,-46.642461,12106413825
18867,-23.5478,-46.6392,9229259745
18868,-23.555211,-46.635581,11235263019
18869,-23.5505,-46.633305,3713147137
18870,-23.5441,-46.6342,3738626449
18871,-23.549742,-46.626281,3724019411
18872,-23.5366,-46.6343,6228531946
18873,-23.531324,-46.632672,2391290542
18874,-23.5254,-46.6292,4230265779
18875,-23.546398,-46.607246,5312688655
18876,-23.542922,-46.589676,12893888129
18877,-23.51624,-46.625149,5153826689
18878,-23.508727,-46.624897,5438158254
18879,-23.502716,-46.624716,10628428845
18880,-23.492734,-46.617354,2368200310
18881,-23.487111,-46.608877,5546367382
18882,-23.480049,-46.603209,11159546780
18883,-23.53784,-46.564393,4737078351
18884,-23.533594,-46.542944,2407362711
18885,-23.531901,-46.530904,4319775764
18886,-23.529319,-46.516673,2087938951
18887,-23.531079,-46.501715,2343353703
18888,-23.540068,-46.484833,4169888799
18889,-23.498281,-46.520092,6667974485
18890,-23.542411,-46.471964,6549197273
18891,-23.485166,-46.482828,5754603519
18892,-23.541714,-46.447993,2367920849
18893,-23.53912,-46.431683,4580257964
18894,-23.554322,-46.383668,1837688524
18895,-23.542298,-46.415633,2664613709
18897,-23.493989,-46.402304,2368584551
18898,-23.540688,-46.368207,5878701444
18899,-23.525211,-46.34325,1837867006
18900,-23.478636,-46.364469,5338189950
18901,-23.525497,-46.332803,1837867006
18902,-23.533521,-46.309229,1837867006
18906,-23.655909,-46.719702,2367194778
18907,-23.677465,-46.702213,8902345459
18908,-23.66343,-46.71097,4183657838
18909,-23.627599,-46.712111,2367210856
18910,-23.621519,-46.701657,12800763219
18911,-23.604669,-46.696825,4183572280
18912,-23.593185,-46.692871,2367223873
18913,-23.585337,-46.691293,4183572275
18914,-23.5307,-46.983928,536205726
18916,-23.504206,-46.714999,2368311598
18917,-23.517538,-46.703952,13115349864
18918,-23.519585,-46.700124,3814558990
18919,-23.521231,-46.689237,8025123466
18920,-23.525317,-46.666547,9947616966
18921,-23.404054,-46.754465,2479349068
18922,-23.455502,-46.738483,7981226302
18923,-23.470038,-46.744207,4170354056
18924,-23.367176,-46.752822,7845760646
18925,-23.332181,-46.727614,4790923610
18926,-23.310582,-46.722853,4790923610
18927,-23.592982,-46.589343,1783133050
18928,-23.610281,-46.57033,1065818214
18929,-23.626196,-46.543623,7954689391
18930,-23.638762,-46.53686,1277760097
18931,-23.713586,-46.414805,8410388895
18932,-23.742981,-46.392026,8410388895
18934,-23.65851,-46.490542,7934212716
18935,-23.668016,-46.461769,2356351861
18936,-23.652472,-46.528568,8943235765
18937,-23.691321,-46.449263,1836697710
18939,-23.532964,-46.640763,457039470
18940,-23.535103,-46.635436,6665713769
18941,-23.557799,-46.608419,4365729238
18942,-23.582356,-46.59666,1965971346
18944,-23.5403,-46.5767,4314563395
18946,-23.545115,-46.947651,536205726
18947,-23.545728,-46.935416,536205726
18948,-23.535245,-46.928291,536205726
18949,-23.52908,-46.91728,536205726
18950,-23.527721,-46.902507,536205726
18951,-23.523568,-46.893491,536205726
18952,-23.514306,-46.88929,10271344393
18953,-23.512644,-46.875113,10271344393
18954,-23.516859,-46.858801,11163926562
18955,-23.516347,-46.84807,11163926562
18956,-23.518744,-46.835417,935325566
18957,-23.523639,-46.815998,935325619
18958,-23.522871,-46.807085,935325619
18959,-23.52599,-46.796059,6097064626
18960,-23.527834,-46.776007,6097064626
18961,-23.530423,-46.760577,5316987221
18962,-23.538372,-46.741543,25621337
18963,-23.546718,-46.732079,181796129
18964,-23.523749,-46.737662,7854122270
18965,-23.488464,-46.726058,6422099489
18966,-23.566631,-46.703082,13316243803
18967,-23.55757,-46.712434,9300231216
18968,-23.573822,-46.698634,4183572273
18969,-23.518787,-46.721665,12892637183
18971,-23.284893,-46.742046,3930330454
18972,-23.23541,-46.767932,3930330454
18973,-23.207264,-46.784873,3930330454
18974,-23.208824,-46.829012,3930330454
18975,-23.195643,-46.8719,3930330454
18976,-23.48577,-46.348456,7920351688
18978,-23.542687,-46.256308,1837867006
18979,-23.536255,-46.225325,1837866801
18980,-23.521185,-46.197135,8953880178
18981,-23.515696,-46.18493,8953880178
18984,-23.581388,-46.638455,3511891373
18985,-23.525592,-46.666651,9947616966
18986,-23.525703,-46.666803,8062510823
18987,-23.545461,-46.616228,6564106613
18989,-23.5753,-46.6408,85730460
19000,-23.550611,-46.633505,3713147137
19040,-23.654465,-46.710305,6267937643
19041,-23.655575,-46.721095,4143583166
19042,-23.643975,-46.734112,5320191660
19043,-23.640331,-46.745882,7301780892
19044,-23.648987,-46.758878,4051061812
19045,-23.659955,-46.768691,13116527484
19070,-23.580717,-46.794016,1642247956
19071,-23.655442,-46.607946,8915461062
19072,-23.655265,-46.607882,8915461062
19073,-23.373502,-46.575335,1915921195
19076,-23.734689,-46.796429,3384399566
19077,-23.601516,-46.753583,1590315626
104763,-23.569481,-46.559044,4570053003
105268,-23.574844,-46.569858,910202671
105368,-23.573757,-46.570172,470094112
105388,-23.572199,-46.569076,340185198
105424,-23.571971,-46.577453,332267500
105431,-23.563638,-46.578721,4512901114
105432,-23.566062,-46.580119,445062831
109574,-23.554218,-46.583823,336295445
109576,-23.55691,-46.581024,462002004
109594,-23.5621,-46.576811,352693672
109595,-23.563852,-46.578953,12559533624
109731,-23.568991,-46.578059,2487367272
109733,-23.557134,-46.57783,155424173
109738,-23.567385,-46.5811,352693073
109739,-23.568491,-46.581779,1421311508
109740,-23.563491,-46.588985,458801927
109741,-23.564467,-46.586589,12496918424
109749,-23.565979,-46.585566,334380630
109751,-23.571378,-46.576358,2487367307
109754,-23.569279,-46.557136,663895137
109759,-23.567859,-46.580223,445062791
109761,-23.562059,-46.575916,7288182088
109762,-23.569985,-46.576826,12557143300
109765,-23.552232,-46.577653,462001985
109773,-23.552927,-46.585032,437498595
109775,-23.55287,-46.574698,9686385825
109776,-23.55276,-46.572316,445166521
109777,-23.565928,-46.580013,445062831
109778,-23.556718,-46.577175,2533503954
109784,-23.564386,-46.587162,458801923
109785,-23.556935,-46.569623,445166507
210999,-23.547121,-46.700656,465060512
211000,-23.545968,-46.700768,465060505
211121,-23.536022,-46.714262,8953951453
211122,-23.536739,-46.713576,1676338324
211147,-23.550196,-46.717396,4362103147
211148,-23.552927,-46.71884,8956042702
211157,-23.551962,-46.707761,465015489
211191,-23.551015,-46.709414,2818269041
211193,-23.552654,-46.708362,8669557970
211227,-23.538171,-46.719704,292424733
211241,-23.551839,-46.722569,251804234
211256,-23.547587,-46.708644,465810523
211262,-23.541231,-46.705945,416006573
211269,-23.555119,-46.705697,4654776116
211270,-23.5503,-46.71789,926014246
211273,-23.545726,-46.69938,2033125631
211274,-23.5456,-46.700349,465060505
211275,-23.549045,-46.714419,465028605
211276,-23.550716,-46.697987,456800587
